ID,SKU,Type,Product Title,Description,Main Category,Sub-Category,Sub-Category,  Price  ,Unit,Images,Visibility in Catalog
H05,F2210,simple,Siggi Strawberry Yogurt 12 x 5.3 oz,Siggi Strawberry Yogurt 12 x 5.3 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$105.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2210.jpg,visible
H05,F221,simple,American Sliced Cheese 4 x 5 lb.,American Sliced Cheese 4 x 5 lb.,Fromagerie,Cheeses,Fromagerie>Cheeses,$24.00,Kgs.,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F221.jpg,visible
H05,F2209,simple,Siggi Plain Yogurt 12 x 5.3 oz,Siggi Plain Yogurt 12 x 5.3 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$126.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2209.jpg,visible
H05,F2207,simple,Beurremont Butter Sheet Tourage 82% 22 lb (Unsalted),Beurremont Butter Sheet Tourage 82% 22 lb (Unsalted),Fromagerie,Cheeses,Fromagerie>Cheeses,$565.00,Each,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2207.jpg,visible
H05,F2205,simple,James Farm Unsalted Butter 36 x 1 lb,James Farm Unsalted Butter 36 x 1 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$490.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2205.jpg,visible
H05,F2204,simple,Dinner Bell Salted Butter Cups 720 ct,Dinner Bell Salted Butter Cups 720 ct,Fromagerie,Cheeses,Fromagerie>Cheeses,$165.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2204.jpg,visible
H05,F2201,simple,Glenview Farm Unsalted Sweet Cream Butter 36 x 1 lb,Glenview Farm Unsalted Sweet Cream Butter 36 x 1 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$390.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2201.jpg,visible
H05,F2199,simple,James Farm Butter Cups 720 ct,James Farm Butter Cups 720 ct,Fromagerie,Cheeses,Fromagerie>Cheeses,$140.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2199.jpg,visible
H05,F2198,simple,Glenview Farms Heavy Cream 40% 12 x 32oz,Glenview Farms Heavy Cream 40% 12 x 32oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$255.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2198.jpg,visible
H05,F2197,simple,Sommermaid Cream Cheese 10 x 3 lb,Sommermaid Cream Cheese 10 x 3 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$290.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2197.jpg,visible
H05,F2190,simple,Glenview Farms Heavy Cream 36% 12 x 32 oz,Glenview Farms Heavy Cream 36% 12 x 32 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$250.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2190.jpg,visible
H05,F2189,simple,Country Maid Unsalted Butter 36 x 1 lb,Country Maid Unsalted Butter 36 x 1 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$420.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2189.jpg,visible
H05,F2188,simple,Roseli Low Moist. Part-Skim Mozz. Cheese Slices 4x 2.5 lb,Roseli Low Moist. Part-Skim Mozz. Cheese Slices 4x 2.5 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$122.75,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2188.jpg,visible
H05,F2187,simple,Country Maid Salted Butter 36 x 1 lb,Country Maid Salted Butter 36 x 1 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$490.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2187.jpg,visible
F50,F218,simple,"6"" Flour Tortillas 12 x 24 ct (288)","6"" Flour Tortillas 12 x 24 ct (288)",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$110.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F218.webp,visible
H05,F2174,simple,Sommer Maid Heavy Cream 36% 12 x 32 oz,Sommer Maid Heavy Cream 36% 12 x 32 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$210.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2174.jpg,visible
H05,F2171,simple,Bella Francesca Provolone Cheese 3 x 12lb,Bella Francesca Provolone Cheese 3 x 12lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$22.50,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2171.jpg,visible
H05,F2170,simple,Great Lakes Mild Sliced Cheddar Cheese 6 x 1.5lb,Great Lakes Mild Sliced Cheddar Cheese 6 x 1.5lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$29.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2170.jpg,visible
F50,F217,simple,Kronos Phyllo Dough Sheets 12 x 1 lb,Kronos Phyllo Dough Sheets 12 x 1 lb,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$135.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F217.jpg,visible
H05,F2166,simple,Sommer Maid Shredded Parmesan,Sommer Maid Shredded Parmesan,Fromagerie,Cheeses,Fromagerie>Cheeses,$35.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2166.jpg,visible
H05,F2162,simple,Sommer Maid Grated Parmesan,Sommer Maid Grated Parmesan,Fromagerie,Cheeses,Fromagerie>Cheeses,$35.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2162.jpg,visible
H05,F2160,simple,Sommer Maid Sharp Cheddar,Sommer Maid Sharp Cheddar,Fromagerie,Cheeses,Fromagerie>Cheeses,$39.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2160.jpg,visible
H05,F2159,simple,Sommer Maid Whipped Butter Cup 720 ct,Sommer Maid Whipped Butter Cup 720 ct,Fromagerie,Cheeses,Fromagerie>Cheeses,$145.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2159.jpg,visible
H05,F2150,simple,Pecorino Romano Quarters,Pecorino Romano Quarters,Fromagerie,Cheeses,Fromagerie>Cheeses,$60.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2150.jpg,visible
H05,F2149,simple,Milano`s White Truffle Grated Parmesan,Milano`s White Truffle Grated Parmesan,Fromagerie,Cheeses,Fromagerie>Cheeses,$53.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2149.jpg,visible
